Time,RL_Offload,RL_Cache,RL_Latency,RL_Energy,MIP_Offload,MIP_Cache,MIP_Latency,MIP_Energy,Feasible,RL_CPU_Time,MIP_CPU_Time
22,1.0,1.0,6631.893751397453,1.6428571428571428,1,1,4406.597193628866,0.26190476451724637,1,1.8e-05,0.010133
23,1.0,1.0,6348.704272584703,0.7678571428571429,1,1,8825.581977937141,0.24117647299395537,1,2.3e-05,0.011058
24,1.0,1.0,5651.918297298258,1.4333333333333331,1,1,6211.732223775828,0.35820895879699316,1,2.3e-05,0.010158
25,1.0,1.0,5851.514928911302,1.3529411764705883,1,1,5933.26115695008,0.6612903291769766,1,1.7e-05,0.009413
26,1.0,1.0,5530.57737372766,1.9583333333333333,1,1,2086.394437593887,0.06632653127384812,1,1.7e-05,0.009375
27,1.0,1.0,4463.455419178825,0.75,1,1,8163.348202608737,0.33620689990536706,1,1.6e-05,0.009873
28,1.0,1.0,6899.7650198275305,0.9166666666666666,1,1,9007.465885518899,0.3382352974915214,1,1.7e-05,0.009482
29,1.0,1.0,6091.247856029169,1.5384615384615383,1,1,4126.046642290281,0.31372549332547145,1,1.7e-05,0.009312
30,1.0,1.0,7061.666537048882,0.8653846153846154,1,1,9144.876778325672,0.34782609042606366,1,1.6e-05,0.009529
31,1.0,1.0,6713.132461349791,0.8275862068965517,1,1,8185.824451682496,0.13483146201909296,1,2e-05,0.009718
32,1.0,1.0,5975.701790441902,0.8333333333333334,1,1,12363.670540314986,0.7916666745833261,0,1.6e-05,0.011445
33,1.0,1.0,6231.091144021894,0.8148148148148148,1,1,20864.21375691023,0.3169014116197154,0,1.9e-05,0.01218
34,1.0,1.0,6152.971070669101,1.8461538461538465,0,0,11316.793941169079,-1.549294366194504e-09,0,2.2e-05,0.01307
35,1.0,1.0,6272.376763094608,0.7692307692307693,1,1,10344.314540157771,0.36607143223081284,0,2.2e-05,0.012088
36,1.0,1.0,5152.806606389789,1.0,1,1,4250.829616806388,0.11267605746196517,1,2.7e-05,0.01039
37,1.0,1.0,6103.754669733833,1.6071428571428572,1,1,10149.752184055504,0.25833333591666435,0,2.3e-05,0.012481
38,1.0,1.0,4338.379117967366,0.7142857142857143,0,0,24883.695117276995,-2.8906223721459333e-09,0,2.1e-05,0.012701
39,1.0,1.0,5593.298879097467,0.9423076923076924,1,1,4599.011217432679,0.07534246650496133,1,2.2e-05,0.0102
40,1.0,1.0,4884.348910627572,0.7068965517241379,1,1,2509.865481501461,0.625000006234338,1,2e-05,0.010505
41,1.0,1.0,4822.606866863352,1.4642857142857142,1,1,5665.706643793689,0.3083333364089398,1,2.1e-05,0.009885
42,1.0,1.0,6315.2339751743375,0.9375,1,1,7061.064319629619,1.1562500115335244,1,1.9e-05,0.009589
43,1.0,1.0,6561.868112546348,1.3125,1,1,3875.8447164841123,0.4833333381545544,1,2.2e-05,0.010636
44,1.0,1.0,7165.909005507615,1.1428571428571428,1,1,7017.96984882166,0.2378048804208698,1,2.5e-05,0.011522
45,1.0,1.0,4978.537112412108,2.136363636363636,1,1,2701.3973164228655,0.20833333541144602,1,2.4e-05,0.010924
46,1.0,1.0,5087.295042116286,0.7777777777777778,1,1,5324.904327035376,0.6851851920198662,1,2.1e-05,0.009765
47,1.0,1.0,6218.868190192893,1.2941176470588236,1,1,8202.9845772011,1.307692320736456,1,1.7e-05,0.009543
48,1.0,1.0,6162.568210141684,1.40625,1,1,28779.697073864554,0.24489796163265082,0,1.6e-05,0.011513
49,1.0,1.0,5760.786464492198,0.7777777777777778,1,1,11681.136885318594,0.30434782913042635,0,1.8e-05,0.01207
